ZTF NAME,Epoch,Optical RA,Optical Dec,Ellipse Center X,Ellipse Center Y,Amplitude (mJy),Galaxy Coordinates (Decimal),Galaxy Coordinates (Sexagesimal),Ellipse - Optical,Ellipse - Galaxy
20aaieyup,2,11:43:29.76,-16:47:53.1,11:43:29.771,-16:47:52.,1.692,"10.300276776803942, -14.700704529678081","0:41:12.066, -14:42:02.536",,
21aagtpro,2,16:33:29.41,-06:22:49.4,16:33:29.392,-6:22:49.743,5.969,"248.372840345, -6.380536487","16:33:29.482, -6:22:49.931","0.435""","1.355"""
19abpidqn,3,20:19:57.19,15:22:38.7,20:19:57.187,15:22:38.883,8.165,"304.9883173382808, 15.377642137626674","20:19:57.196, 15:22:39.512","0.188""","0.642"""
20acytgxf,2,4:43:46.17,28:58:10.5,4:43:46.114,28:58:11.479,1.294,-,"04:43:46.8, 28:58:19","1.22""","11.73"" ?"
21abviabc,1,00:41:12.06,-14:42:02.5,0:41:12.055,-14:42:00.998,0.679,"10.300276776803942, -14.700704529678081","0:41:12.066, -14:42:02.536","1.504""","1.546"""
,2,00:41:12.06,-14:42:02.5,0:41:12.064,-14:42:02.024,0.905,"10.300276776803942, -14.700704529678081","0:41:12.066, -14:42:02.536","0.480""","0.513"""
,3,00:41:12.06,-14:42:02.5,0:41:12.063,-14:42:02.419,4.496,"10.300276776803942, -14.700704529678081","0:41:12.066, -14:42:02.536","0.0920""","0.125"""
20acnvniw,3,11:53:26.23,10:53:47.3,11:53:26.216,10:53:47.235,3.008,"178.360315522, 10.896382598","11:53:26.48, 10:53:46.98","0.216""","3.897"""
18acbwopo,2,19:41:15.66,63:11:53.5,19:41:15.637,63:11:53.718,1.711,"295.315351944, 63.198230277","19:41:15.684, 63:11:53.629","0.268""","0.330"""
22aaagrce,3,02:45:09.38,13:14:19.1,2:45:09.412,13:14:18.804,0.831,"41.28912222283891, 13.238654872657195","2:45:09.389, 13:14:19.158","0.553""","0.488"""
19aambfxc,2,17:41:43.11,67:57:42.6,17:41:43.142,67:57:43.025,0.849,"265.429596574, 67.961965977","17:41:43.103, 67:57:43.078","0.462""","0.226"""
19abglmpf ,1,19:27:15.13,43:54:34.1,19:27:15.066,43:54:33.486,2.051,-,-,,
,2,19:27:15.13,43:54:34.1,19:27:15.072,43:54:33.398,2.616,-,-,,
,3,19:27:15.13,43:54:34.1,19:27:15.063,43:54:33.418,3.049,-,-,,
18aadmssd,1,06:50:25.81,43:03:11.6,6:50:25.805,43:03:11.763,4.973,"102.60732555375, 43.0529643125",-,"0.172""","1.206""?"
,2,06:50:25.81,43:03:11.6,6:50:25.812,43:03:11.773,5.792,"102.60732555375, 43.0529643125",-,"0.174""","1.250""?"
19aakkths,1,03:01:10.42,41:23:45.7,3:01:10.409,41:23:46.075,0.958,"45.292062332, 41.396251570","3:01:10.095, 41:23:46.506","0.395""","3.559"""
18aaemivw (Ia),1,10:33:42.69,39:29:26.5,10:33:42.694,39:29:27.176,1.008,"158.427982843, 39.490774645","10:33:42.716, 39:29:26.789","0.668""","0.463"""
,2,10:33:42.69,39:29:26.5,10:33:42.690,39:29:26.913,0.594,"158.427982843, 39.490774645","10:33:42.716, 39:29:26.789","0.413""","0.326"""
18aaupmks,1,19:27:38.77,61:56:49.9,19:27:38.781,61:56:50.069,1.714,"291.911530914, 61.947278995","19:27:38.767, 61:56:50.204","0.186""","0.167"""
,2,19:27:38.77,61:56:49.9,19:27:38.753,61:56:50.021,1.940,"291.911530914, 61.947278995","19:27:38.767, 61:56:50.204","0.170""","0.208"""
