Name,Ra_hourangle,Dec_degree,Epoch,Date,File_path
ZTF18aahfbqp,10.445233333333334,21.723916666666664,VLASS1.2,2019-04-18,ia_npy_arrays\ZTF18aahfbqp_VLASS1.2v2_array.npy
ZTF18aahfbqp,10.445233333333334,21.723916666666664,VLASS2.2,2021-12-01,ia_npy_arrays\ZTF18aahfbqp_VLASS2.2_array.npy
ZTF18aahfbqp,10.445233333333334,21.723916666666664,VLASS3.2,2024-04-29,ia_npy_arrays\ZTF18aahfbqp_VLASS3.2_array.npy
ZTF18aahfeiy,10.287655555555556,43.52336111111111,VLASS1.2,2019-05-25,ia_npy_arrays\ZTF18aahfeiy_VLASS1.2v2_array.npy
ZTF18aahfeiy,10.287655555555556,43.52336111111111,VLASS2.2,2021-10-09,ia_npy_arrays\ZTF18aahfeiy_VLASS2.2_array.npy
ZTF18aahfeiy,10.287655555555556,43.52336111111111,VLASS3.2,2024-06-15,ia_npy_arrays\ZTF18aahfeiy_VLASS3.2_array.npy
ZTF18aahfgyz,11.68555,24.81952777777778,VLASS1.2,2019-04-12,ia_npy_arrays\ZTF18aahfgyz_VLASS1.2v2_array.npy
ZTF18aahfgyz,11.68555,24.81952777777778,VLASS2.2,2021-11-09,ia_npy_arrays\ZTF18aahfgyz_VLASS2.2_array.npy
ZTF18aahfgyz,11.68555,24.81952777777778,VLASS3.2,2024-06-28,ia_npy_arrays\ZTF18aahfgyz_VLASS3.2_array.npy
ZTF18aahfxnn,11.769986111111113,9.35497222222222,VLASS1.1,2018-01-03,ia_npy_arrays\ZTF18aahfxnn_VLASS1.1v2_array.npy
ZTF18aahfxnn,11.769986111111113,9.35497222222222,VLASS2.1,2020-07-21,ia_npy_arrays\ZTF18aahfxnn_VLASS2.1_array.npy
ZTF18aahfxnn,11.769986111111113,9.35497222222222,VLASS3.1,2023-01-25,ia_npy_arrays\ZTF18aahfxnn_VLASS3.1_array.npy
ZTF18aahfzea,12.09073888888889,20.29911111111112,VLASS1.1,2017-10-20,ia_npy_arrays\ZTF18aahfzea_VLASS1.1v2_array.npy
ZTF18aahfzea,12.09073888888889,20.29911111111112,VLASS2.1,2020-08-07,ia_npy_arrays\ZTF18aahfzea_VLASS2.1_array.npy
ZTF18aahfzea,12.09073888888889,20.29911111111112,VLASS3.1,2023-02-06,ia_npy_arrays\ZTF18aahfzea_VLASS3.1_array.npy
ZTF18aahheaj,13.007363888888891,18.61936111111111,VLASS1.2,2019-04-12,ia_npy_arrays\ZTF18aahheaj_VLASS1.2v2_array.npy
ZTF18aahheaj,13.007363888888891,18.61936111111111,VLASS2.2,2021-11-17,ia_npy_arrays\ZTF18aahheaj_VLASS2.2_array.npy
ZTF18aahheaj,13.007363888888891,18.61936111111111,VLASS3.2,2024-05-01,ia_npy_arrays\ZTF18aahheaj_VLASS3.2_array.npy
ZTF18aahhenr,13.824211111111111,26.46208333333333,VLASS1.1,2017-10-01,ia_npy_arrays\ZTF18aahhenr_VLASS1.1v2_array.npy
ZTF18aahhenr,13.824211111111111,26.46208333333333,VLASS2.1,2020-09-06,ia_npy_arrays\ZTF18aahhenr_VLASS2.1_array.npy
ZTF18aahhenr,13.824211111111111,26.46208333333333,VLASS3.1,2023-03-01,ia_npy_arrays\ZTF18aahhenr_VLASS3.1_array.npy
ZTF17aacldgo,3.156763888888889,-4.894222222222222,VLASS1.1,2017-11-28,ia_npy_arrays\ZTF17aacldgo_VLASS1.1v2_array.npy
ZTF17aacldgo,3.156763888888889,-4.894222222222222,VLASS2.1,2020-09-13,ia_npy_arrays\ZTF17aacldgo_VLASS2.1_array.npy
