Transient Name,Epoch,Peak Flux,RMS Flux,Delta T
ZTF17aaapufz,VLASS1.1v2,0.263,0.102,-1645.25
ZTF17aaapufz,VLASS2.1,0.395,0.155,-628.25
ZTF17aaapufz,VLASS3.1,0.321,0.13,260.75
ZTF17aaazdba,VLASS1.2v2,0.472,0.215,25.77
ZTF17aaazdba,VLASS2.2,1.104,0.165,999.77
ZTF17aabtvsy,VLASS1.2v2,0.458,0.135,-1264.49
ZTF17aabtvsy,VLASS2.2,0.342,0.126,-341.49
ZTF17aacldgo,VLASS1.1v2,0.313,0.122,-1812.25
ZTF17aacldgo,VLASS2.1,0.321,0.155,-792.25
ZTF17aacldgo,VLASS3.1,0.358,0.128,178.75
ZTF17aacpbmv,VLASS1.1v2,0.436,0.175,-2159.33
ZTF17aacpbmv,VLASS2.1,0.535,0.184,-1184.33
ZTF17aacpbmv,VLASS3.1,0.438,0.173,-261.33
ZTF17aadlxmv,VLASS1.2v2,0.265,0.115,-269.19
ZTF17aadlxmv,VLASS2.2,0.35,0.111,672.81
ZTF18aaaibml,VLASS1.1v2,0.414,0.112,-826.3
ZTF18aaaibml,VLASS2.1,0.522,0.183,138.7
ZTF18aaaibml,VLASS3.1,0.469,0.17,1059.7
ZTF18aaaonon,VLASS1.1v2,0.352,0.104,-1671.27
ZTF18aaaonon,VLASS2.1,0.295,0.11,-570.27
ZTF18aaaonon,VLASS3.1,0.288,0.149,269.73
ZTF18aaaqexr,VLASS1.1v2,0.302,0.113,-837.42
ZTF18aaaqexr,VLASS2.1,0.35,0.135,241.58
ZTF18aaaqexr,VLASS3.1,0.409,0.138,1069.58
ZTF18aabdajx,VLASS1.1v2,0.282,0.118,-1560.37
ZTF18aabdajx,VLASS2.1,0.385,0.153,-575.37
ZTF18aabdajx,VLASS3.1,0.34,0.116,341.63
ZTF18aabdgik,VLASS1.1v2,0.302,0.132,-306.5
ZTF18aabdgik,VLASS2.1,0.378,0.127,623.5
ZTF18aabdgik,VLASS3.1,0.37,0.158,1541.5
ZTF18aabkvpi,VLASS1.1v2,0.366,0.111,-1962.35
ZTF18aabkvpi,VLASS2.1,0.387,0.126,-883.35
ZTF18aabkvpi,VLASS3.1,0.374,0.142,-55.35
ZTF18aabssth,VLASS1.2v2,0.426,0.144,374.79
ZTF18aabssth,VLASS2.2,0.395,0.123,1315.79
ZTF18aabtxvd,VLASS1.2v2,0.368,0.131,414.83
ZTF18aabtxvd,VLASS2.2,0.258,0.11,1339.83
ZTF18aabxlsv,VLASS1.1v2,0.275,0.112,-141.18
ZTF18aabxlsv,VLASS2.1,0.444,0.15,823.82
ZTF18aabxlsv,VLASS3.1,0.397,0.148,1744.82
ZTF18aaceepu,VLASS1.2v2,0.352,0.133,-1208.51
ZTF18aaceepu,VLASS2.2,0.221,0.106,-286.51
ZTF18aacemcn,VLASS1.2v2,0.275,0.119,-197.51
ZTF18aacemcn,VLASS2.2,0.291,0.122,724.49
ZTF18aacnlxz,VLASS1.2v2,0.296,0.109,-573.52
ZTF18aacnlxz,VLASS2.2,0.263,0.111,348.48
ZTF18aadlaxo,VLASS1.2v2,0.335,0.134,-719.15
ZTF18aadlaxo,VLASS2.2,0.302,0.092,264.85
ZTF18aadmssd,VLASS1.2v2,5.053,0.489,95.74
ZTF18aadmssd,VLASS2.2,5.737,0.332,991.74
ZTF18aadsuxd,VLASS1.2v2,0.453,0.132,-560.49
ZTF18aadsuxd,VLASS2.2,0.302,0.105,382.51
ZTF18aadxnul,VLASS1.2v2,0.438,0.136,-869.47
ZTF18aadxnul,VLASS2.2,0.278,0.12,26.53
ZTF18aadzfso,VLASS1.2v2,0.315,0.131,-273.28
ZTF18aadzfso,VLASS2.2,0.309,0.111,611.72
ZTF18aaegvyd,VLASS1.2v2,0.296,0.131,-45.21
ZTF18aaegvyd,VLASS2.2,0.254,0.115,908.79
ZTF18aaeipng,VLASS1.2v2,0.41,0.144,-1062.18
ZTF18aaeipng,VLASS2.2,0.416,0.1,-120.18
ZTF18aaemivw,VLASS1.2v2,1.008,0.188,182.46
ZTF18aaemivw,VLASS2.2,0.639,0.141,1105.46
ZTF18aaeqjmc,VLASS1.2v2,0.372,0.135,-1674.46
ZTF18aaeqjmc,VLASS2.2,0.318,0.121,-700.46
ZTF18aaermez,VLASS1.2v2,0.978,0.129,84.59
ZTF18aaermez,VLASS2.2,0.737,0.161,1039.59
ZTF18aaezzww,VLASS1.2v2,0.395,0.127,-1609.51
ZTF18aaezzww,VLASS2.2,0.308,0.118,-633.51
ZTF18aafdigb,VLASS1.2v2,0.304,0.147,-1641.49
ZTF18aafdigb,VLASS2.2,0.286,0.109,-680.49
ZTF18aafpfwr,VLASS1.2v2,0.545,0.173,-900.47
ZTF18aafpfwr,VLASS2.2,0.307,0.123,90.53
ZTF18aafzers,VLASS1.2v2,0.552,0.191,-662.25
ZTF18aafzers,VLASS2.2,0.335,0.093,298.75
ZTF18aagpzjk,VLASS1.2v2,0.344,0.123,369.84
ZTF18aagpzjk,VLASS2.2,0.294,0.107,1320.84
ZTF18aagrdcs,VLASS1.2v2,0.441,0.097,369.6
ZTF18aagrdcs,VLASS2.2,0.373,0.106,1314.6
ZTF18aagrtxs,VLASS1.1v2,0.279,0.125,-138.23
ZTF18aagrtxs,VLASS2.1,0.344,0.147,847.77
ZTF18aagrtxs,VLASS3.1,0.321,0.11,1764.77
ZTF18aagstdc,VLASS1.2v2,0.265,0.13,359.64
ZTF18aagstdc,VLASS2.2,0.369,0.133,1284.64
ZTF18aagtcxj,VLASS1.2v2,0.423,0.115,387.55
ZTF18aagtcxj,VLASS2.2,0.345,0.134,1312.55
ZTF18aagtwyh,VLASS1.2v2,0.403,0.122,-821.2
ZTF18aagtwyh,VLASS2.2,0.236,0.135,153.8
ZTF18aahatvc,VLASS1.1v2,0.313,0.118,-957.28
ZTF18aahatvc,VLASS2.1,0.313,0.118,145.72
ZTF18aahatvc,VLASS3.1,0.247,0.099,980.72
ZTF18aahesrp,VLASS1.2v2,0.309,0.106,390.81
ZTF18aahesrp,VLASS2.2,0.29,0.117,1333.81
ZTF18aahfbqp,VLASS1.2v2,0.342,0.147,-614.43
ZTF18aahfbqp,VLASS2.2,0.3,0.118,343.57
ZTF18aahfeiy,VLASS1.2v2,0.383,0.164,413.79
ZTF18aahfeiy,VLASS2.2,0.297,0.131,1281.79
ZTF18aahfgyz,VLASS1.2v2,0.242,0.103,366.7
ZTF18aahfgyz,VLASS2.2,0.312,0.115,1308.7
ZTF18aahfqbc,VLASS1.1v2,0.702,0.246,-147.23
ZTF18aahfqbc,VLASS2.1,0.623,0.187,896.77
ZTF18aahfqbc,VLASS3.1,0.328,0.139,1799.77
ZTF18aahfxnn,VLASS1.1v2,0.298,0.132,-106.25
ZTF18aahfxnn,VLASS2.1,0.308,0.125,823.75
ZTF18aahfxnn,VLASS3.1,0.336,0.142,1741.75
ZTF18aahfzea,VLASS1.1v2,0.325,0.114,-171.26
ZTF18aahfzea,VLASS2.1,0.34,0.148,850.74
ZTF18aahfzea,VLASS3.1,0.306,0.121,1763.74
ZTF18aahheaj,VLASS1.2v2,0.303,0.127,357.73
ZTF18aahheaj,VLASS2.2,0.353,0.138,1307.73
ZTF18aahhenr,VLASS1.1v2,0.298,0.131,-195.28
ZTF18aahhenr,VLASS2.1,0.369,0.14,875.72
ZTF18aahhenr,VLASS3.1,0.269,0.101,1781.72
ZTF18aahhqih,VLASS1.2v2,0.998,0.173,376.78
ZTF18aahhqih,VLASS2.2,1.242,0.153,1295.78
ZTF18aahhzqn,VLASS1.2v2,0.382,0.129,388.75
ZTF18aahhzqn,VLASS2.2,0.316,0.134,1294.75
ZTF18aahjafd,VLASS1.1v2,0.287,0.1,-212.19
ZTF18aahjafd,VLASS2.1,0.426,0.135,811.81
ZTF18aahjafd,VLASS3.1,0.301,0.105,1733.81
ZTF18aahmhxu,VLASS1.2v2,0.27,0.125,325.77
ZTF18aahmhxu,VLASS2.2,0.448,0.128,1272.77
ZTF18aahpbwz,VLASS1.2v2,0.306,0.123,348.85
ZTF18aahpbwz,VLASS2.2,0.324,0.1,1293.85
ZTF18aahptcq,VLASS1.2v2,0.258,0.114,416.8
ZTF18aahptcq,VLASS2.2,0.318,0.129,1272.8
ZTF18aahqkbt,VLASS1.2v2,0.35,0.148,377.84
ZTF18aahqkbt,VLASS2.2,0.338,0.128,1263.84
ZTF18aahqmsr,VLASS1.2v2,0.621,0.281,406.83
