Name,c,Tile,Epoch,Date,File_path
ZTF17aabtvsy,"<SkyCoord (ICRS): (ra, dec) in deg
    (158.88370833, 37.64972222)>",T20t14,VLASS1.2,2019-05-03,ia_npy_arrays\ZTF17aabtvsy_VLASS1.2v2_array.npy
ZTF17aabtvsy,"<SkyCoord (ICRS): (ra, dec) in deg
    (158.88370833, 37.64972222)>",T20t14,VLASS2.2,2021-11-11,ia_npy_arrays\ZTF17aabtvsy_VLASS2.2_array.npy
ZTF17aabtvsy,"<SkyCoord (ICRS): (ra, dec) in deg
    (158.88370833, 37.64972222)>",T20t14,VLASS3.2,2024-07-21,ia_npy_arrays\ZTF17aabtvsy_VLASS3.2_array.npy
ZTF17aacldgo,"<SkyCoord (ICRS): (ra, dec) in deg
    (47.35145833, -4.89422222)>",T09t05,VLASS1.1,2017-11-28,ia_npy_arrays\ZTF17aacldgo_VLASS1.1v2_array.npy
ZTF17aacldgo,"<SkyCoord (ICRS): (ra, dec) in deg
    (47.35145833, -4.89422222)>",T09t05,VLASS2.1,2020-09-13,ia_npy_arrays\ZTF17aacldgo_VLASS2.1_array.npy
ZTF17aacldgo,"<SkyCoord (ICRS): (ra, dec) in deg
    (47.35145833, -4.89422222)>",T09t05,VLASS3.1,2023-05-12,ia_npy_arrays\ZTF17aacldgo_VLASS3.1_array.npy
ZTF17aadlxmv,"<SkyCoord (ICRS): (ra, dec) in deg
    (127.44829167, 33.90633333)>",T19t11,VLASS1.2,2019-05-07,ia_npy_arrays\ZTF17aadlxmv_VLASS1.2v2_array.npy
ZTF17aadlxmv,"<SkyCoord (ICRS): (ra, dec) in deg
    (127.44829167, 33.90633333)>",T19t11,VLASS2.2,2021-12-04,ia_npy_arrays\ZTF17aadlxmv_VLASS2.2_array.npy
ZTF17aadlxmv,"<SkyCoord (ICRS): (ra, dec) in deg
    (127.44829167, 33.90633333)>",T19t11,VLASS3.2,2024-07-12,ia_npy_arrays\ZTF17aadlxmv_VLASS3.2_array.npy
ZTF18aaaonon,"<SkyCoord (ICRS): (ra, dec) in deg
    (154.77295833, 14.40461111)>",T14t16,VLASS1.1,2017-10-06,ia_npy_arrays\ZTF18aaaonon_VLASS1.1v2_array.npy
ZTF18aaaonon,"<SkyCoord (ICRS): (ra, dec) in deg
    (154.77295833, 14.40461111)>",T14t16,VLASS2.1,2020-10-11,ia_npy_arrays\ZTF18aaaonon_VLASS2.1_array.npy
ZTF18aaaonon,"<SkyCoord (ICRS): (ra, dec) in deg
    (154.77295833, 14.40461111)>",T14t16,VLASS3.1,2023-01-29,ia_npy_arrays\ZTF18aaaonon_VLASS3.1_array.npy
ZTF18aaaqexr,"<SkyCoord (ICRS): (ra, dec) in deg
    (175.77654167, 15.56713889)>",T14t18,VLASS1.1,2017-10-28,ia_npy_arrays\ZTF18aaaqexr_VLASS1.1v2_array.npy
ZTF18aaaqexr,"<SkyCoord (ICRS): (ra, dec) in deg
    (175.77654167, 15.56713889)>",T14t18,VLASS2.1,2020-10-11,ia_npy_arrays\ZTF18aaaqexr_VLASS2.1_array.npy
ZTF18aaaqexr,"<SkyCoord (ICRS): (ra, dec) in deg
    (175.77654167, 15.56713889)>",T14t18,VLASS3.1,2023-01-17,ia_npy_arrays\ZTF18aaaqexr_VLASS3.1_array.npy
ZTF18aabdgik,"<SkyCoord (ICRS): (ra, dec) in deg
    (175.59866667, 10.26408333)>",T13t18,VLASS1.1,2018-01-03,ia_npy_arrays\ZTF18aabdgik_VLASS1.1v2_array.npy
ZTF18aabdgik,"<SkyCoord (ICRS): (ra, dec) in deg
    (175.59866667, 10.26408333)>",T13t18,VLASS2.1,2020-07-21,ia_npy_arrays\ZTF18aabdgik_VLASS2.1_array.npy
ZTF18aabdgik,"<SkyCoord (ICRS): (ra, dec) in deg
    (175.59866667, 10.26408333)>",T13t18,VLASS3.1,2023-01-25,ia_npy_arrays\ZTF18aabdgik_VLASS3.1_array.npy
ZTF18aaceepu,"<SkyCoord (ICRS): (ra, dec) in deg
    (146.99766667, 34.74180556)>",T19t13,VLASS1.2,2019-06-07,ia_npy_arrays\ZTF18aaceepu_VLASS1.2v2_array.npy
ZTF18aaceepu,"<SkyCoord (ICRS): (ra, dec) in deg
    (146.99766667, 34.74180556)>",T19t13,VLASS2.2,2021-12-15,ia_npy_arrays\ZTF18aaceepu_VLASS2.2_array.npy
ZTF18aaceepu,"<SkyCoord (ICRS): (ra, dec) in deg
    (146.99766667, 34.74180556)>",T19t13,VLASS3.2,2024-07-07,ia_npy_arrays\ZTF18aaceepu_VLASS3.2_array.npy
ZTF18aadlaxo,"<SkyCoord (ICRS): (ra, dec) in deg
    (120.64895833, 50.92252778)>",T23t09,VLASS1.2,2019-03-05,ia_npy_arrays\ZTF18aadlaxo_VLASS1.2v2_array.npy
ZTF18aadlaxo,"<SkyCoord (ICRS): (ra, dec) in deg
    (120.64895833, 50.92252778)>",T23t09,VLASS2.2,2021-11-13,ia_npy_arrays\ZTF18aadlaxo_VLASS2.2_array.npy
ZTF18aadlaxo,"<SkyCoord (ICRS): (ra, dec) in deg
    (120.64895833, 50.92252778)>",T23t09,VLASS3.2,2024-05-25,ia_npy_arrays\ZTF18aadlaxo_VLASS3.2_array.npy
ZTF18aadxnul,"<SkyCoord (ICRS): (ra, dec) in deg
    (98.50770833, 43.40902778)>",T21t07,VLASS1.2,2019-04-27,ia_npy_arrays\ZTF18aadxnul_VLASS1.2v2_array.npy
ZTF18aadxnul,"<SkyCoord (ICRS): (ra, dec) in deg
    (98.50770833, 43.40902778)>",T21t07,VLASS2.2,2021-10-09,ia_npy_arrays\ZTF18aadxnul_VLASS2.2_array.npy
ZTF18aadxnul,"<SkyCoord (ICRS): (ra, dec) in deg
    (98.50770833, 43.40902778)>",T21t07,VLASS3.2,2024-06-15,ia_npy_arrays\ZTF18aadxnul_VLASS3.2_array.npy
ZTF18aadzfso,"<SkyCoord (ICRS): (ra, dec) in deg
    (106.823625, 43.31641667)>",T21t08,VLASS1.2,2019-05-16,ia_npy_arrays\ZTF18aadzfso_VLASS1.2v2_array.npy
ZTF18aadzfso,"<SkyCoord (ICRS): (ra, dec) in deg
    (106.823625, 43.31641667)>",T21t08,VLASS2.2,2021-10-17,ia_npy_arrays\ZTF18aadzfso_VLASS2.2_array.npy
ZTF18aadzfso,"<SkyCoord (ICRS): (ra, dec) in deg
    (106.823625, 43.31641667)>",T21t08,VLASS3.2,2024-06-09,ia_npy_arrays\ZTF18aadzfso_VLASS3.2_array.npy
ZTF18aaemivw,"<SkyCoord (ICRS): (ra, dec) in deg
    (158.427875, 39.49069444)>",T20t14,VLASS1.2,2019-05-03,ia_npy_arrays\ZTF18aaemivw_VLASS1.2v2_array.npy
ZTF18aaemivw,"<SkyCoord (ICRS): (ra, dec) in deg
    (158.427875, 39.49069444)>",T20t14,VLASS2.2,2021-11-11,ia_npy_arrays\ZTF18aaemivw_VLASS2.2_array.npy
ZTF18aaemivw,"<SkyCoord (ICRS): (ra, dec) in deg
    (158.427875, 39.49069444)>",T20t14,VLASS3.2,2024-07-21,ia_npy_arrays\ZTF18aaemivw_VLASS3.2_array.npy
ZTF18aaeqjmc,"<SkyCoord (ICRS): (ra, dec) in deg
    (115.49429167, 23.17647222)>",T16t11,VLASS1.2,2019-04-14,ia_npy_arrays\ZTF18aaeqjmc_VLASS1.2v2_array.npy
ZTF18aaeqjmc,"<SkyCoord (ICRS): (ra, dec) in deg
    (115.49429167, 23.17647222)>",T16t11,VLASS2.2,2021-12-13,ia_npy_arrays\ZTF18aaeqjmc_VLASS2.2_array.npy
ZTF18aaeqjmc,"<SkyCoord (ICRS): (ra, dec) in deg
    (115.49429167, 23.17647222)>",T16t11,VLASS3.2,2024-05-04,ia_npy_arrays\ZTF18aaeqjmc_VLASS3.2_array.npy
ZTF18aaermez,"<SkyCoord (ICRS): (ra, dec) in deg
    (153.17870833, 39.37388889)>",T20t13,VLASS1.2,2019-04-26,ia_npy_arrays\ZTF18aaermez_VLASS1.2v2_array.npy
ZTF18aaermez,"<SkyCoord (ICRS): (ra, dec) in deg
    (153.17870833, 39.37388889)>",T20t13,VLASS2.2,2021-12-06,ia_npy_arrays\ZTF18aaermez_VLASS2.2_array.npy
ZTF18aaermez,"<SkyCoord (ICRS): (ra, dec) in deg
    (153.17870833, 39.37388889)>",T20t13,VLASS3.2,2024-08-03,ia_npy_arrays\ZTF18aaermez_VLASS3.2_array.npy
